ACE-ORY;3:45
AGA-LYS;3:15
AGA-NTE;3:10
AGA-ORY;3:30
AGP-LYS;2:15
AGP-NTE;2:10
AGP-ORY;2:30
AJA-BES;2:15
AJA-MPL;1:05
AJA-NTE;1:55
ALC-LYS;1:50
ALC-ORY;2:15
ALG-LYS;1:55
ALG-MPL;1:35
ALG-ORY;2:25
AMS-ORY;1:20
ARN-MPL;3:15
ARN-ORY;2:50
ATH-LYS;3:05
ATH-MPL;3:05
ATH-NTE;3:45
ATH-ORY;3:30
AYT-ORY;4:20
BCN-ORY;1:50
BDS-ORY;2:35
BER-MPL;2:15
BER-ORY;1:55
BES-AJA;2:05
BES-BIA;2:05
BES-CLY;2:15
BES-FSC;2:15
BES-MPL;1:35
BES-MRS;1:45
BES-NCE;1:55
BES-ORY;1:20
BES-TLN;1:50
BES-TLS;1:25
BEY-ORY;4:55
BIA-BES;2:10
BIA-FEZ;2:45
BIA-MPL;1:10
BIA-NTE;1:55
BIQ-LIL;1:40
BIQ-ORY;1:25
BRI-LYS;2:05
BRI-NTE;2:45
BRI-ORY;2:35
BUD-ORY;2:20
CAG-ORY;2:15
CFU-NTE;3:20
CFU-ORY;3:00
CHQ-ORY;3:45
CIY-ORY;2:50
CLY-BES;2:10
CLY-MPL;1:00
CLY-NTE;1:50
CMN-NTE;2:40
CMN-ORY;3:00
CTA-ORY;2:55
CZL-ORY;2:25
DBV-NTE;2:50
DBV-ORY;2:30
DJE-LYS;2:25
DJE-MPL;2:10
DJE-NTE;3:00
DJE-ORY;3:00
DUB-ORY;1:50
ESU-ORY;3:20
FAO-LYS;2:25
FAO-NTE;2:10
FAO-ORY;2:35
FCO-NTE;2:20
FCO-ORY;2:10
FEZ-BIA;2:35
FEZ-ORY;3:00
FNC-OPO;2:05
FNC-ORY;3:35
FSC-BES;2:15
FSC-MPL;1:10
FUE-ORY;3:50
HER-LYS;3:20
HER-MPL;3:20
HER-NTE;4:05
HER-ORY;3:50
IBZ-LYS;1:40
IBZ-ORY;2:05
IST-NTE;4:00
JMK-ORY;3:40
JTR-LYS;3:20
JTR-MPL;3:20
JTR-NTE;4:00
JTR-ORY;3:45
KEF-ORY;3:40
KGS-ORY;3:55
KLX-ORY;3:20
LCA-ORY;4:50
LIL-BIQ;1:40
LIL-MPL;1:40
LIS-LYS;2:20
LIS-MPL;2:10
LIS-NTE;1:55
LIS-ORY;2:25
LPA-ORY;4:05
LYS-AGA;3:25
LYS-AGP;2:25
LYS-ALC;2:00
LYS-ALG;1:55
LYS-ATH;2:45
LYS-BRI;1:50
LYS-DJE;2:20
LYS-FAO;2:35
LYS-HER;3:05
LYS-IBZ;1:45
LYS-JTR;2:55
LYS-LIS;2:35
LYS-MAH;1:25
LYS-MIR;2:00
LYS-OLB;1:25
LYS-OPO;2:20
LYS-OUD;2:35
LYS-PMI;1:30
LYS-PMO;2:00
LYS-RAK;3:10
LYS-RHO;3:15
LYS-SVQ;2:20
LYS-TUN;1:55
MAD-ORY;2:05
MAH-LYS;1:25
MAH-NTE;1:55
MAH-ORY;2:00
MIR-LYS;2:10
MIR-NTE;2:45
MIR-ORY;2:45
MPL-AJA;1:00
MPL-ALG;1:35
MPL-ARN;3:05
MPL-ATH;2:45
MPL-BER;2:10
MPL-BES;1:40
MPL-BIA;1:15
MPL-CLY;1:05
MPL-DJE;2:05
MPL-FSC;1:10
MPL-HER;3:00
MPL-JTR;3:00
MPL-LIL;1:35
MPL-LIS;2:25
MPL-NTE;1:25
MPL-PMO;1:45
MPL-RAK;2:55
MPL-RNS;1:30
MPL-SVQ;2:00
MPL-TUN;1:45
MRS-BES;1:50
MRS-NTE;1:30
NAP-ORY;2:25
NBE-ORY;2:40
NCE-BES;2:00
NCE-NTE;1:40
NDR-ORY;2:45
NTE-AGA;3:05
NTE-AGP;2:05
NTE-AJA;1:45
NTE-ATH;3:30
NTE-BIA;1:45
NTE-BRI;2:35
NTE-CFU;2:55
NTE-CLY;1:40
NTE-CMN;2:45
NTE-DBV;2:35
NTE-DJE;2:45
NTE-FAO;2:15
NTE-FCO;2:15
NTE-HER;3:45
NTE-IST;3:55
NTE-JTR;3:40
NTE-LIS;2:10
NTE-MAH;1:40
NTE-MIR;2:35
NTE-MPL;1:20
NTE-MRS;1:30
NTE-NCE;1:35
NTE-OPO;1:45
NTE-PMI;1:45
NTE-PMO;2:30
NTE-RAK;2:55
NTE-RHO;3:50
NTE-SVQ;1:55
NTE-TLN;1:35
